please_indicate_what_best_describes_you_,What_outsourced_public_service,What_outsourced_public_service/garbage_waste_disposal,What_outsourced_public_service/fresh_water_supply,What_outsourced_public_service/cleaning_of_business_environme,What_outsourced_public_service/use_of_car_parking_space,What_outsourced_public_service/AUTOMATIC,please_specify,name_of_your_county_government_,group_qo7it23/the_county_government_will_have_modern_looking_equipment_,group_qo7it23/the_physical_facilities_at_county_government_offices_will_be_visually_appealing_,group_qo7it23/employees_at_county_government_offices_will_be_neat_in_their_appearance_,group_qo7it23/materials_associated_with_the_service_pamphlets_or_statements_will_be_visually_appealing_at_county_government_offices_,group_qo7it23/when_the_county_government_promises_to_do_something_by_a_certain_time_they_do_,group_qo7it23/when_a_customer_has_a_problem_county_government_officers_will_show_a_sincere_interest_in_solving_it_,group_qo7it23/county_government_officers_will_perform_the_service_right_the_first_time_,group_qo7it23/the_county_government_will_provide_the_service_at_the_time_they_promise_to_do_so_,group_qo7it23/the_county_government_will_insist_on_error_free_records_,group_qo7it23/employees_of_the_county_government_will_tell_customers_exactly_when_services_will_be_performed_,group_qo7it23/employees_of_the_county_government_will_give_prompt_service_to_customers_,group_qo7it23/employees_of_the_county_government_will_always_be_willing_to_help_customers_,group_qo7it23/employees_of_the_county_government_will_never_be_too_busy_to_respond_to_customers_requests_,group_qo7it23/the_behavior_of_employees_in_the_county_government_offices_will_instil_confidence_in_customers_,group_qo7it23/customers_of_county_government_will_feel_safe_in_transactions_,group_qo7it23/employees_of_the_county_government_will_be_consistently_courteous_with_customers_,group_qo7it23/employees_of_the_county_government_will_have_the_knowledge_to_answer_customers_questions_,group_qo7it23/county_government_officers_will_give_customers_individual_attention_,group_qo7it23/county_governments_will_have_operating_hours_convenient_to_all_their_customers_,group_qo7it23/county_governments_will_have_employees_who_give_customers_personal_service_,group_qo7it23/county_governments_will_have_their_customers_best_interest_at_heart_,group_qo7it23/the_employees_of_the_county_government_will_understand_the_specific_needs_of_their_customers_,group_my4qi80/the_county_government_has_modern_looking_equipment_,group_my4qi80/the_county_government_s_physical_features_are_visually_appealing_,group_my4qi80/the_county_government_s_reception_desk_employees_are_neat_appearing_,group_my4qi80/materials_associated_with_the_service_such_as_pamphlets_or_statements_are_visually_appealing_at_the_county_government_offices_,group_my4qi80/when_the_county_government_promises_to_do_something_by_a_certain_time_it_does_so_,group_my4qi80/when_you_have_a_problem_the_county_government_employees_show_a_sincere_interest_in_solving_it_,group_my4qi80/the_county_government_performs_the_service_right_the_first_time_,group_my4qi80/the_county_government_provides_its_service_at_the_time_it_promises_to_do_so_,group_my4qi80/the_county_government_insists_on_error_free_records_,group_my4qi80/employees_in_the_county_government_offices_tell_you_exactly_when_the_services_will_be_performed_,group_my4qi80/employees_in_the_county_government_offices_give_you_prompt_service_,group_my4qi80/employees_in_the_county_government_offices_are_always_willing_to_help_you_,group_my4qi80/employees_in_the_county_government_offices_are_never_too_busy_to_respond_to_your_request_,group_my4qi80/the_behavior_of_employees_in_the_county_government_offices_instils_confidence_in_you_,group_my4qi80/you_feel_safe_in_your_transactions_with_the_county_government_officers_,group_my4qi80/employees_of_the_county_government_are_consistently_courteous_with_you_,group_my4qi80/employees_of_the_county_government_have_the_knowledge_to_answer_your_questions_,group_my4qi80/employees_of_the_county_government_give_you_individual_attention_,group_my4qi80/the_county_government_has_operating_hours_convenient_to_all_its_customers_,group_my4qi80/the_county_government_has_employees_who_give_you_personal_attention_,group_my4qi80/the_county_government_has_your_best_interests_at_heart_,group_my4qi80/the_employees_of_the_county_government_understand_your_specific_needs_,start,end,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes
business_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme use_of_car_parking_space,TRUE,TRUE,TRUE,TRUE,FALSE,,nairobi_county,disagree,disagree,neutral,neutral,strongly_disag,disagree,disagree,disagree,disagree,agree,disagree,neutral,disagree,disagree,neutral,neutral,disagree,disagree,neutral,disagree,disagree,neutral,neutral,disagree,neutral,neutral,neutral,neutral,disagree,disagree,agree,disagree,neutral,disagree,agree,neutral,neutral,disagree,disagree,disagree,neutral,neutral,neutral,neutral,2016-02-22T11:52:24.296+03,2016-02-22T11:55:35.780+03,uuid:c4f9cbb7-02b0-4a68-b89b-4edebc309f2e,615538,c4f9cbb7-02b0-4a68-b89b-4edebc309f2e,2016-02-22T08:55:48,29,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme use_of_car_parking_space,TRUE,TRUE,TRUE,TRUE,FALSE,,nairobi_county,neutral,agree,neutral,agree,disagree,agree,disagree,disagree,neutral,agree,disagree,disagree,agree,agree,agree,disagree,agree,agree,agree,agree,disagree,disagree,neutral,agree,disagree,agree,disagree,agree,disagree,disagree,neutral,agree,disagree,disagree,agree,agree,agree,disagree,agree,agree,agree,agree,disagree,disagree,2016-02-22T11:55:46.892+03,2016-02-22T11:58:54.552+03,uuid:975562a0-94c5-40bc-a47d-8d8d3c286636,615592,975562a0-94c5-40bc-a47d-8d8d3c286636,2016-02-22T08:59:08,30,,-1,,
business_custo,garbage_waste_disposal cleaning_of_business_environme use_of_car_parking_space,TRUE,FALSE,TRUE,TRUE,FALSE,,nairobi_county,agree,agree,agree,neutral,disagree,disagree,agree,agree,disagree,neutral,agree,agree,agree,neutral,agree,agree,agree,neutral,agree,neutral,agree,agree,agree,agree,agree,disagree,disagree,disagree,disagree,disagree,disagree,neutral,disagree,agree,disagree,agree,agree,agree,agree,disagree,disagree,disagree,disagree,disagree,2016-02-22T12:03:08.086+03,2016-02-22T12:07:19.063+03,uuid:9c7f01af-be60-45aa-9523-0c15f7dcb5cc,615616,9c7f01af-be60-45aa-9523-0c15f7dcb5cc,2016-02-22T09:07:40,31,,-1,,
business_custo,use_of_car_parking_space,FALSE,FALSE,FALSE,TRUE,FALSE,,nairobi_county,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,2016-02-22T12:08:50.910+03,2016-02-22T12:11:09.168+03,uuid:9a3a16b9-4c0f-4891-9167-2caf3b2bd12d,615628,9a3a16b9-4c0f-4891-9167-2caf3b2bd12d,2016-02-22T09:11:24,32,,-1,,
business_custo,garbage_waste_disposal cleaning_of_business_environme use_of_car_parking_space,TRUE,FALSE,TRUE,TRUE,FALSE,,nairobi_county,agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,strongly_disag,agree,strongly_agree,strongly_agree,agree,agree,agree,agree,agree,agree,disagree,option_5,neutral,agree,option_5,disagree,disagree,option_5,option_5,option_5,disagree,neutral,disagree,disagree,option_5,disagree,option_5,option_5,neutral,disagree,neutral,disagree,2016-02-22T12:11:21.439+03,2016-02-22T12:15:50.603+03,uuid:bde6299e-c754-4055-9a05-03973232cb2b,615726,bde6299e-c754-4055-9a05-03973232cb2b,2016-02-22T09:16:05,33,,-1,,
business_custo,cleaning_of_business_environme use_of_car_parking_space,FALSE,FALSE,TRUE,TRUE,FALSE,,nairobi_county,agree,agree,neutral,strongly_disag,disagree,disagree,strongly_disag,disagree,strongly_disag,strongly_disag,disagree,neutral,strongly_agree,disagree,strongly_agree,neutral,agree,strongly_disag,disagree,neutral,strongly_disag,disagree,strongly_agree,agree,agree,agree,option_5,agree,agree,agree,option_5,option_5,disagree,neutral,disagree,disagree,option_5,strongly_agree,option_5,neutral,agree,disagree,option_5,option_5,2016-02-22T12:16:15.594+03,2016-02-22T12:20:07.668+03,uuid:2f4c212b-b6f2-446a-b793-305ed018a154,615779,2f4c212b-b6f2-446a-b793-305ed018a154,2016-02-22T09:23:20,34,,-1,,
business_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme use_of_car_parking_space,TRUE,TRUE,TRUE,TRUE,FALSE,,nairobi_county,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disag,disagree,disagree,neutral,agree,disagree,neutral,agree,neutral,neutral,neutral,neutral,disagree,neutral,neutral,neutral,neutral,neutral,disagree,disagree,disagree,neutral,disagree,neutral,disagree,neutral,neutral,neutral,disagree,disagree,disagree,disagree,disagree,neutral,disagree,disagree,neutral,disagree,disagree,neutral,2016-02-22T12:20:22.999+03,2016-02-22T12:23:02.880+03,uuid:6c941d30-3243-4d43-ae4b-6cfbc7473450,615781,6c941d30-3243-4d43-ae4b-6cfbc7473450,2016-02-22T09:23:28,35,,-1,,
business_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme use_of_car_parking_space,TRUE,TRUE,TRUE,TRUE,FALSE,,nairobi_county,neutral,agree,neutral,disagree,disagree,disagree,disagree,disagree,neutral,disagree,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,disagree,disagree,neutral,neutral,disagree,disagree,disagree,neutral,disagree,neutral,disagree,disagree,neutral,disagree,neutral,neutral,disagree,disagree,disagree,disagree,disagree,2016-02-22T12:23:24.328+03,2016-02-22T12:26:47.497+03,uuid:d9a0c8c1-d075-4c97-b0a1-c173dc77a034,615818,d9a0c8c1-d075-4c97-b0a1-c173dc77a034,2016-02-22T09:27:02,36,,-1,,
business_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme use_of_car_parking_space,TRUE,TRUE,TRUE,TRUE,FALSE,,nairobi_county,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,agree,agree,agree,strongly_agree,disagree,strongly_agree,disagree,agree,agree,agree,disagree,neutral,disagree,neutral,agree,disagree,option_5,neutral,neutral,neutral,agree,option_5,agree,disagree,disagree,option_5,neutral,neutral,2016-02-22T12:27:08.046+03,2016-02-22T12:30:09.911+03,uuid:9cbd41c2-79f3-4abc-8365-e414061ece58,615855,9cbd41c2-79f3-4abc-8365-e414061ece58,2016-02-22T09:30:23,37,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme use_of_car_parking_space,TRUE,TRUE,TRUE,TRUE,FALSE,,nairobi_county,strongly_disag,disagree,disagree,strongly_disag,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,neutral,strongly_disag,disagree,disagree,strongly_disag,disagree,disagree,disagree,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,disagree,option_5,option_5,option_5,disagree,option_5,neutral,disagree,disagree,disagree,2016-02-22T12:30:37.373+03,2016-02-22T12:34:42.167+03,uuid:f1cc6fd6-fa75-431a-a4b9-76d64b5f83ea,615887,f1cc6fd6-fa75-431a-a4b9-76d64b5f83ea,2016-02-22T09:35:00,38,,-1,,
business_custo,garbage_waste_disposal,TRUE,FALSE,FALSE,FALSE,FALSE,,nairobi_county,agree,agree,agree,agree,agree,disagree,agree,strongly_disag,agree,strongly_disag,strongly_disag,strongly_disag,strongly_disag,disagree,strongly_agree,agree,strongly_disag,disagree,agree,strongly_disag,strongly_disag,strongly_disag,option_5,option_5,option_5,agree,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,option_5,neutral,option_5,option_5,option_5,2016-02-22T12:36:54.047+03,2016-02-22T12:39:19.021+03,uuid:3129bbeb-aaa8-43c4-9868-a85e6c900840,615913,3129bbeb-aaa8-43c4-9868-a85e6c900840,2016-02-22T09:39:36,39,,-1,,
business_custo,garbage_waste_disposal fresh_water_supply,TRUE,TRUE,FALSE,FALSE,FALSE,,nairobi_county,neutral,agree,neutral,disagree,disagree,disagree,strongly_disag,neutral,strongly_disag,strongly_agree,neutral,agree,neutral,neutral,neutral,disagree,neutral,disagree,disagree,strongly_disag,strongly_disag,disagree,disagree,neutral,neutral,agree,disagree,neutral,agree,disagree,neutral,option_5,neutral,disagree,neutral,agree,agree,neutral,neutral,neutral,agree,option_5,neutral,neutral,2016-02-22T12:39:32.400+03,2016-02-22T12:42:32.872+03,uuid:e87dd3b7-6914-476f-a41c-892379e299c8,615919,e87dd3b7-6914-476f-a41c-892379e299c8,2016-02-22T09:42:45,40,,-1,,
resident_custo,garbage_waste_disposal,TRUE,FALSE,FALSE,FALSE,FALSE,,nairobi_county,agree,agree,agree,neutral,disagree,disagree,agree,disagree,strongly_disag,strongly_disag,disagree,agree,agree,agree,agree,disagree,disagree,neutral,agree,neutral,agree,disagree,disagree,neutral,agree,agree,option_5,disagree,neutral,disagree,option_5,disagree,disagree,agree,neutral,disagree,neutral,neutral,disagree,agree,agree,neutral,option_5,agree,2016-02-22T14:11:19.468+03,2016-02-22T14:19:59.925+03,uuid:169f0353-116f-46e8-a5f3-95ecb1f3f791,617335,169f0353-116f-46e8-a5f3-95ecb1f3f791,2016-02-22T13:42:57,41,,-1,,
resident_custo,use_of_car_parking_space,FALSE,FALSE,FALSE,TRUE,FALSE,,nairobi_county,strongly_agree,strongly_agree,strongly_agree,agree,neutral,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,strongly_agree,agree,agree,agree,strongly_agree,agree,agree,agree,agree,agree,agree,disagree,disagree,disagree,agree,disagree,agree,agree,agree,disagree,disagree,disagree,option_5,agree,agree,agree,option_5,agree,agree,2016-02-22T15:14:21.406+03,2016-02-22T15:24:20.266+03,uuid:dc5626f6-74bd-46ee-aea6-5c58b11aacb7,617336,dc5626f6-74bd-46ee-aea6-5c58b11aacb7,2016-02-22T13:43:05,42,,-1,,
business_custo,fresh_water_supply cleaning_of_business_environme,FALSE,TRUE,TRUE,FALSE,FALSE,,nairobi_county,agree,agree,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,agree,agree,agree,neutral,agree,agree,agree,neutral,agree,agree,agree,neutral,neutral,agree,agree,neutral,disagree,disagree,neutral,neutral,disagree,neutral,disagree,disagree,disagree,disagree,neutral,disagree,neutral,neutral,disagree,neutral,disagree,neutral,2016-02-24T11:37:26.606+03,2016-02-24T11:39:49.275+03,uuid:8ec47afa-1792-405b-9449-de6b4ef854a4,625821,8ec47afa-1792-405b-9449-de6b4ef854a4,2016-02-24T11:34:54,43,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply,TRUE,TRUE,FALSE,FALSE,FALSE,,nairobi_county,neutral,neutral,neutral,neutral,neutral,agree,neutral,neutral,neutral,neutral,agree,neutral,neutral,agree,neutral,agree,neutral,agree,neutral,agree,neutral,neutral,agree,agree,disagree,neutral,disagree,disagree,neutral,disagree,disagree,neutral,neutral,disagree,disagree,disagree,option_5,option_5,disagree,disagree,option_5,disagree,disagree,disagree,2016-02-24T11:44:26.209+03,2016-02-24T11:47:10.011+03,uuid:25c6c206-515e-465e-9d86-f44756474bd9,625822,25c6c206-515e-465e-9d86-f44756474bd9,2016-02-24T11:34:55,44,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply,TRUE,TRUE,FALSE,FALSE,FALSE,,nairobi_county,strongly_agree,neutral,agree,neutral,disagree,neutral,disagree,disagree,disagree,disagree,disagree,neutral,disagree,neutral,agree,agree,neutral,neutral,agree,neutral,agree,neutral,neutral,neutral,neutral,neutral,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,neutral,neutral,disagree,neutral,neutral,agree,neutral,2016-02-25T11:48:50.102+03,2016-02-25T11:51:19.609+03,uuid:3e40e874-ce0d-47f0-b427-49a0190a5b1c,629956,3e40e874-ce0d-47f0-b427-49a0190a5b1c,2016-02-25T08:51:37,45,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply use_of_car_parking_space,TRUE,TRUE,FALSE,TRUE,FALSE,,nairobi_county,agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,neutral,disagree,agree,agree,agree,agree,agree,neutral,disagree,disagree,disagree,disagree,disagree,neutral,neutral,disagree,neutral,neutral,agree,disagree,disagree,disagree,2016-02-25T11:46:39.476+03,2016-02-25T11:48:35.536+03,uuid:5fc4b946-e76b-4414-8646-12c7f421936d,629954,5fc4b946-e76b-4414-8646-12c7f421936d,2016-02-25T08:48:49,46,,-1,,
business_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme use_of_car_parking_space,TRUE,TRUE,TRUE,TRUE,FALSE,,nairobi_county,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,neutral,agree,agree,agree,agree,disagree,disagree,neutral,disagree,neutral,neutral,disagree,neutral,neutral,neutral,disagree,neutral,neutral,neutral,neutral,neutral,neutral,disagree,disagree,disagree,neutral,disagree,2016-02-25T11:43:28.610+03,2016-02-25T11:46:23.601+03,uuid:675347ed-b6c0-4529-8807-6ef4162ba0a9,629944,675347ed-b6c0-4529-8807-6ef4162ba0a9,2016-02-25T08:46:32,47,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply use_of_car_parking_space,TRUE,TRUE,FALSE,TRUE,FALSE,,nairobi_county,agree,neutral,neutral,neutral,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,neutral,agree,neutral,neutral,disagree,disagree,disagree,disagree,disagree,neutral,neutral,disagree,neutral,disagree,neutral,disagree,agree,agree,neutral,neutral,disagree,neutral,2016-02-25T11:41:09.090+03,2016-02-25T11:43:20.646+03,uuid:9dbb12ae-0bff-44ef-9f69-dd6670e4e8a0,629938,9dbb12ae-0bff-44ef-9f69-dd6670e4e8a0,2016-02-25T08:43:33,48,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply,TRUE,TRUE,FALSE,FALSE,FALSE,,nairobi_county,agree,agree,agree,agree,disagree,neutral,agree,strongly_disag,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,neutral,disagree,disagree,disagree,disagree,agree,neutral,neutral,neutral,neutral,neutral,neutral,neutral,disagree,neutral,agree,agree,agree,neutral,neutral,agree,2016-02-25T11:37:56.374+03,2016-02-25T11:40:39.679+03,uuid:d7bcb765-8485-42e0-addc-51d8f012ba63,629935,d7bcb765-8485-42e0-addc-51d8f012ba63,2016-02-25T08:40:53,49,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply use_of_car_parking_space,TRUE,TRUE,FALSE,TRUE,FALSE,,nairobi_county,strongly_agree,agree,strongly_agree,agree,strongly_agree,strongly_agree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,disagree,disagree,neutral,neutral,disagree,disagree,disagree,neutral,neutral,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,option_5,disagree,2016-02-25T11:34:58.071+03,2016-02-25T11:37:39.506+03,uuid:bb7d10c0-f1a2-445b-841a-813e60013f36,629933,bb7d10c0-f1a2-445b-841a-813e60013f36,2016-02-25T08:37:53,50,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply,TRUE,TRUE,FALSE,FALSE,FALSE,,nairobi_county,strongly_agree,strongly_agree,agree,strongly_agree,disagree,disagree,agree,disagree,neutral,disagree,agree,agree,neutral,strongly_agree,agree,agree,agree,agree,strongly_agree,strongly_agree,agree,agree,agree,strongly_agree,agree,strongly_agree,disagree,disagree,strongly_agree,disagree,neutral,disagree,neutral,disagree,disagree,neutral,agree,disagree,agree,disagree,neutral,disagree,disagree,disagree,2016-02-25T11:28:41.868+03,2016-02-25T11:31:46.122+03,uuid:fa81ff28-ac6b-459a-991a-58765c63722e,629931,fa81ff28-ac6b-459a-991a-58765c63722e,2016-02-25T08:32:01,51,,-1,,
resident_custo,garbage_waste_disposal,TRUE,FALSE,FALSE,FALSE,FALSE,,nairobi_county,disagree,neutral,disagree,agree,disagree,disagree,neutral,disagree,strongly_disag,disagree,strongly_disag,disagree,neutral,strongly_disag,strongly_agree,disagree,agree,strongly_disag,agree,disagree,strongly_disag,neutral,disagree,neutral,disagree,agree,disagree,option_5,disagree,disagree,option_5,disagree,option_5,option_5,disagree,option_5,disagree,option_5,neutral,disagree,agree,disagree,option_5,neutral,2016-02-25T11:25:15.773+03,2016-02-25T11:28:28.865+03,uuid:45fcf216-c09e-43ef-a789-85f3894635a5,629928,45fcf216-c09e-43ef-a789-85f3894635a5,2016-02-25T08:28:46,52,,-1,,
resident_custo,fresh_water_supply use_of_car_parking_space,FALSE,TRUE,FALSE,TRUE,FALSE,,nairobi_county,disagree,disagree,disagree,strongly_disag,strongly_disag,agree,neutral,neutral,strongly_disag,disagree,agree,agree,neutral,neutral,agree,agree,neutral,neutral,neutral,neutral,disagree,neutral,agree,disagree,agree,agree,agree,agree,neutral,agree,neutral,neutral,neutral,neutral,neutral,neutral,agree,agree,agree,neutral,neutral,neutral,agree,agree,2016-02-25T11:22:29.813+03,2016-02-25T11:25:01.064+03,uuid:9389750e-6fdc-4299-9e4e-1e19cabb2600,629925,9389750e-6fdc-4299-9e4e-1e19cabb2600,2016-02-25T08:25:14,53,,-1,,
business_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme use_of_car_parking_space,TRUE,TRUE,TRUE,TRUE,FALSE,,nairobi_county,neutral,neutral,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,neutral,neutral,agree,agree,neutral,agree,agree,agree,agree,agree,option_5,disagree,option_5,option_5,disagree,option_5,option_5,option_5,disagree,disagree,disagree,option_5,option_5,option_5,option_5,disagree,disagree,option_5,option_5,option_5,option_5,option_5,2016-02-25T11:19:22.071+03,2016-02-25T11:21:58.254+03,uuid:177cd544-c9f0-47d1-98f9-44f596d6224d,629922,177cd544-c9f0-47d1-98f9-44f596d6224d,2016-02-25T08:22:13,54,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply,TRUE,TRUE,FALSE,FALSE,FALSE,,nairobi_county,agree,neutral,agree,agree,disagree,disagree,neutral,disagree,disagree,agree,agree,disagree,disagree,neutral,strongly_agree,strongly_agree,strongly_agree,agree,agree,strongly_agree,strongly_agree,agree,option_5,agree,neutral,agree,option_5,disagree,disagree,disagree,option_5,disagree,option_5,option_5,disagree,neutral,neutral,disagree,neutral,neutral,agree,disagree,neutral,disagree,2016-02-25T10:20:53.582+03,2016-02-25T10:24:15.050+03,uuid:2b93f6e8-fa80-4ee1-babf-f4d095d033c5,629786,2b93f6e8-fa80-4ee1-babf-f4d095d033c5,2016-02-25T07:24:36,55,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme,TRUE,TRUE,TRUE,FALSE,FALSE,,nairobi_county,agree,strongly_agree,neutral,neutral,disagree,strongly_disag,neutral,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_disag,neutral,strongly_disag,neutral,strongly_disag,strongly_disag,strongly_disag,neutral,neutral,neutral,neutral,neutral,disagree,option_5,option_5,option_5,neutral,neutral,neutral,neutral,disagree,neutral,neutral,neutral,neutral,agree,neutral,neutral,neutral,2016-02-25T10:24:35.721+03,2016-02-25T10:28:10.803+03,uuid:4352de99-5955-4951-8e91-55b2f95e22d9,629788,4352de99-5955-4951-8e91-55b2f95e22d9,2016-02-25T07:28:22,56,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply,TRUE,TRUE,FALSE,FALSE,FALSE,,nairobi_county,agree,strongly_agree,neutral,neutral,disagree,strongly_disag,strongly_disag,disagree,strongly_disag,disagree,disagree,strongly_disag,strongly_disag,strongly_disag,neutral,disagree,neutral,disagree,neutral,neutral,neutral,agree,disagree,disagree,neutral,neutral,disagree,option_5,option_5,option_5,option_5,disagree,disagree,option_5,option_5,disagree,neutral,neutral,neutral,option_5,disagree,neutral,disagree,disagree,2016-02-25T10:28:22.490+03,2016-02-25T10:32:02.135+03,uuid:38173458-a72a-463e-8edc-0cac2c48d7b3,629876,38173458-a72a-463e-8edc-0cac2c48d7b3,2016-02-25T07:32:10,57,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply,TRUE,TRUE,FALSE,FALSE,FALSE,,nairobi_county,agree,agree,agree,neutral,disagree,neutral,neutral,disagree,neutral,disagree,disagree,neutral,disagree,neutral,agree,neutral,agree,disagree,agree,neutral,neutral,disagree,agree,agree,agree,neutral,disagree,disagree,disagree,disagree,neutral,disagree,option_5,agree,option_5,disagree,agree,option_5,agree,option_5,agree,neutral,disagree,disagree,2016-02-25T10:32:20.138+03,2016-02-25T10:35:25.336+03,uuid:8b9e7624-c69b-4d4c-b791-c98e0b46fc57,629879,8b9e7624-c69b-4d4c-b791-c98e0b46fc57,2016-02-25T07:35:40,58,,-1,,
business_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme,TRUE,TRUE,TRUE,FALSE,FALSE,,nairobi_county,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,disagree,disagree,neutral,option_5,option_5,option_5,option_5,option_5,option_5,option_5,disagree,neutral,disagree,disagree,option_5,neutral,agree,neutral,agree,disagree,neutral,2016-02-25T10:35:41.920+03,2016-02-25T10:37:58.632+03,uuid:b19e5391-08df-4e5f-8eac-b43251bbae8a,629881,b19e5391-08df-4e5f-8eac-b43251bbae8a,2016-02-25T07:38:08,59,,-1,,
resident_custo,fresh_water_supply use_of_car_parking_space,FALSE,TRUE,FALSE,TRUE,FALSE,,nairobi_county,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,neutral,strongly_agree,disagree,strongly_agree,strongly_agree,strongly_agree,neutral,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,neutral,disagree,disagree,neutral,neutral,option_5,disagree,disagree,option_5,option_5,disagree,option_5,option_5,option_5,option_5,option_5,option_5,neutral,disagree,neutral,disagree,option_5,neutral,2016-02-25T10:38:10.400+03,2016-02-25T10:41:05.755+03,uuid:94f3c862-f448-48b3-89d9-04e547261371,629882,94f3c862-f448-48b3-89d9-04e547261371,2016-02-25T07:41:19,60,,-1,,
